Date/Time,Consumption (kW)
 11/29  01:00:00,25.83881937
 11/29  02:00:00,24.27811542
 11/29  03:00:00,23.92877239
 11/29  04:00:00,24.0758738
 11/29  05:00:00,23.86552268
 11/29  06:00:00,24.1825029
 11/29  07:00:00,25.70501706
 11/29  08:00:00,27.9187152
 11/29  09:00:00,26.47251872
 11/29  10:00:00,24.47981345
 11/29  11:00:00,25.53278056
 11/29  12:00:00,22.94586519
 11/29  13:00:00,22.22066915
 11/29  14:00:00,21.19769214
 11/29  15:00:00,20.37997356
 11/29  16:00:00,19.93592864
 11/29  17:00:00,21.7514295
 11/29  18:00:00,25.41853073
 11/29  19:00:00,24.42722472
 11/29  20:00:00,25.85604072
 11/29  21:00:00,26.61674073
 11/29  22:00:00,26.87127652
 11/29  23:00:00,26.56358581
 11/29  24:00:00,26.28860555
 11/30  01:00:00,26.01725412
 11/30  02:00:00,26.96750203
 11/30  03:00:00,26.50396117
 11/30  04:00:00,25.25877664
 11/30  05:00:00,25.36669807
 11/30  06:00:00,25.44735798
 11/30  07:00:00,25.92500243
 11/30  08:00:00,28.05719059
 11/30  09:00:00,23.66988808
 11/30  10:00:00,22.32077214
 11/30  11:00:00,20.54027702
 11/30  12:00:00,18.78684164
 11/30  13:00:00,16.89380057
 11/30  14:00:00,14.1555688
 11/30  15:00:00,12.85704563
 11/30  16:00:00,13.79830103
 11/30  17:00:00,15.34725387
 11/30  18:00:00,18.56425146
 11/30  19:00:00,19.03011678
 11/30  20:00:00,19.80619614
 11/30  21:00:00,19.91239953
 11/30  22:00:00,20.80158158
 11/30  23:00:00,21.5126243
 11/30  24:00:00,22.49228808
 12/01  01:00:00,23.67596776
 12/01  02:00:00,25.23977312
 12/01  03:00:00,26.84448022
 12/01  04:00:00,28.81581532
 12/01  05:00:00,30.33304259
 12/01  06:00:00,30.33647936
 12/01  07:00:00,31.0066119
 12/01  08:00:00,31.32509943
 12/01  09:00:00,29.50372721
 12/01  10:00:00,27.10255157
 12/01  11:00:00,25.2329266
 12/01  12:00:00,19.34649399
 12/01  13:00:00,17.18931596
 12/01  14:00:00,14.64576531
 12/01  15:00:00,13.45902426
 12/01  16:00:00,14.84226619
 12/01  17:00:00,17.34210585
 12/01  18:00:00,21.55897865
 12/01  19:00:00,22.84701125
 12/01  20:00:00,23.86235303
 12/01  21:00:00,24.13062464
 12/01  22:00:00,24.90160792
 12/01  23:00:00,24.66131743
 12/01  24:00:00,24.39208719
 12/02  01:00:00,23.81920138
 12/02  02:00:00,23.6903064
 12/02  03:00:00,23.25879375
 12/02  04:00:00,23.33371226
 12/02  05:00:00,22.48436234
 12/02  06:00:00,22.39651222
 12/02  07:00:00,23.52124368
 12/02  08:00:00,24.92187349
 12/02  09:00:00,24.90872866
 12/02  10:00:00,24.54912081
 12/02  11:00:00,26.11453196
 12/02  12:00:00,26.3514023
 12/02  13:00:00,24.56490489
 12/02  14:00:00,24.37760388
 12/02  15:00:00,25.72702513
 12/02  16:00:00,25.27438965
 12/02  17:00:00,27.76685244
 12/02  18:00:00,31.84872106
 12/02  19:00:00,31.99767707
 12/02  20:00:00,32.43919518
 12/02  21:00:00,32.61945089
 12/02  22:00:00,33.07045451
 12/02  23:00:00,32.63427504
 12/02  24:00:00,32.48213517
 12/03  01:00:00,32.13680991
 12/03  02:00:00,34.63770663
 12/03  03:00:00,34.05195055
 12/03  04:00:00,35.20630564
 12/03  05:00:00,35.06826893
 12/03  06:00:00,35.23807613
 12/03  07:00:00,37.16819627
 12/03  08:00:00,35.14943682
 12/03  09:00:00,34.81311558
 12/03  10:00:00,34.67787884
 12/03  11:00:00,34.45685073
 12/03  12:00:00,31.85216699
 12/03  13:00:00,31.85181292
 12/03  14:00:00,30.43599994
 12/03  15:00:00,29.34958018
 12/03  16:00:00,27.82387587
 12/03  17:00:00,27.53400481
 12/03  18:00:00,28.44718877
 12/03  19:00:00,26.55817397
 12/03  20:00:00,24.97146406
 12/03  21:00:00,24.3242806
 12/03  22:00:00,22.62964259
 12/03  23:00:00,21.45419388
 12/03  24:00:00,20.00862867
 12/04  01:00:00,19.16364877
 12/04  02:00:00,18.39892444
 12/04  03:00:00,18.19968065
 12/04  04:00:00,17.60010525
 12/04  05:00:00,17.13170746
 12/04  06:00:00,17.34722383
 12/04  07:00:00,19.44173211
 12/04  08:00:00,18.03636088
 12/04  09:00:00,17.17280078
 12/04  10:00:00,16.28374083
 12/04  11:00:00,15.32347612
 12/04  12:00:00,13.40541341
 12/04  13:00:00,11.73944109
 12/04  14:00:00,11.39436043
 12/04  15:00:00,9.214193339
 12/04  16:00:00,12.13952691
 12/04  17:00:00,15.67942622
 12/04  18:00:00,18.2190629
 12/04  19:00:00,20.00337811
 12/04  20:00:00,21.19991776
 12/04  21:00:00,21.80649295
 12/04  22:00:00,22.83731826
 12/04  23:00:00,22.71702239
 12/04  24:00:00,22.68267102
 12/05  01:00:00,22.37380268
 12/05  02:00:00,22.09023314
 12/05  03:00:00,23.46784465
 12/05  04:00:00,25.02596751
 12/05  05:00:00,24.64516286
 12/05  06:00:00,25.04602672
 12/05  07:00:00,26.35639576
 12/05  08:00:00,28.2002662
