Date/Time,all
 01/01  01:00:00,40.79372665
 01/01  02:00:00,41.83708365
 01/01  03:00:00,41.64209434
 01/01  04:00:00,42.81296726
 01/01  05:00:00,44.79396506
 01/01  06:00:00,48.78704019
 01/01  07:00:00,56.91952044
 01/01  08:00:00,58.04818455
 01/01  09:00:00,54.66628511
 01/01  10:00:00,44.47564143
 01/01  11:00:00,40.17471635
 01/01  12:00:00,36.12698922
 01/01  13:00:00,33.86879621
 01/01  14:00:00,32.70708968
 01/01  15:00:00,30.88345421
 01/01  16:00:00,31.12540015
 01/01  17:00:00,34.83585099
 01/01  18:00:00,40.8965423
 01/01  19:00:00,41.03282626
 01/01  20:00:00,45.2714791
 01/01  21:00:00,50.18319356
 01/01  22:00:00,58.66065482
 01/01  23:00:00,59.41846817
 01/01  24:00:00,59.70299336
 01/02  01:00:00,65.23624019
 01/02  02:00:00,65.9270579
 01/02  03:00:00,66.63787899
 01/02  04:00:00,67.59801191
 01/02  05:00:00,68.05160171
 01/02  06:00:00,68.68918773
 01/02  07:00:00,69.95680552
 01/02  08:00:00,70.23432916
 01/02  09:00:00,62.23782241
 01/02  10:00:00,52.335221
 01/02  11:00:00,46.47685868
 01/02  12:00:00,38.13785579
 01/02  13:00:00,36.05012967
 01/02  14:00:00,35.27769125
 01/02  15:00:00,32.77550039
 01/02  16:00:00,33.07728892
 01/02  17:00:00,35.77292891
 01/02  18:00:00,38.96673177
 01/02  19:00:00,37.74661786
 01/02  20:00:00,33.6060001
 01/02  21:00:00,33.35046634
 01/02  22:00:00,32.02609241
 01/02  23:00:00,32.23457053
 01/02  24:00:00,32.22202113
 01/03  01:00:00,31.97114897
 01/03  02:00:00,29.28784248
 01/03  03:00:00,29.89958802
 01/03  04:00:00,31.50962475
 01/03  05:00:00,31.59590553
 01/03  06:00:00,30.6103565
 01/03  07:00:00,32.04751301
 01/03  08:00:00,34.87124043
 01/03  09:00:00,29.15240395
 01/03  10:00:00,27.47855213
 01/03  11:00:00,29.02674959
 01/03  12:00:00,29.46904279
 01/03  13:00:00,28.63388285
 01/03  14:00:00,29.76002933
 01/03  15:00:00,25.32596736
 01/03  16:00:00,24.90867898
 01/03  17:00:00,27.96352068
 01/03  18:00:00,31.52205716
 01/03  19:00:00,31.34231967
 01/03  20:00:00,34.11479346
 01/03  21:00:00,33.86070298
 01/03  22:00:00,33.84971527
 01/03  23:00:00,32.76457472
 01/03  24:00:00,32.72263002
 01/04  01:00:00,32.31522348
 01/04  02:00:00,31.4947956
 01/04  03:00:00,30.83777614
 01/04  04:00:00,32.06429815
