Date/Time,all
 01/01  01:00:00,31.90569869
 01/01  02:00:00,33.50779499
 01/01  03:00:00,33.62741673
 01/01  04:00:00,35.47442728
 01/01  05:00:00,35.9596514
 01/01  06:00:00,38.73833281
 01/01  07:00:00,41.13738602
 01/01  08:00:00,41.55007765
 01/01  09:00:00,33.82292208
 01/01  10:00:00,30.41969081
 01/01  11:00:00,29.15951814
 01/01  12:00:00,26.1581272
 01/01  13:00:00,23.52057161
 01/01  14:00:00,21.97604588
 01/01  15:00:00,20.24611355
 01/01  16:00:00,20.2703009
 01/01  17:00:00,23.72848666
 01/01  18:00:00,26.65111654
 01/01  19:00:00,28.80134376
 01/01  20:00:00,29.52827871
 01/01  21:00:00,31.21520406
 01/01  22:00:00,31.13004012
 01/01  23:00:00,31.81044262
 01/01  24:00:00,32.37900015
 01/02  01:00:00,32.64408715
 01/02  02:00:00,33.33040096
 01/02  03:00:00,33.71661285
 01/02  04:00:00,34.22769643
 01/02  05:00:00,34.65064711
 01/02  06:00:00,36.40641528
 01/02  07:00:00,36.73741655
 01/02  08:00:00,40.0774568
 01/02  09:00:00,35.03245034
 01/02  10:00:00,34.41729405
 01/02  11:00:00,31.07421756
 01/02  12:00:00,27.24210976
 01/02  13:00:00,25.68926559
 01/02  14:00:00,25.52596253
 01/02  15:00:00,24.20418461
 01/02  16:00:00,25.35820014
 01/02  17:00:00,27.22247344
 01/02  18:00:00,31.14813598
 01/02  19:00:00,32.58806014
 01/02  20:00:00,33.88330892
 01/02  21:00:00,35.0211253
 01/02  22:00:00,35.40990496
 01/02  23:00:00,35.72888491
 01/02  24:00:00,35.49148404
 01/03  01:00:00,34.84980083
 01/03  02:00:00,36.56398076
 01/03  03:00:00,39.17152668
 01/03  04:00:00,42.13376031
 01/03  05:00:00,44.11175467
 01/03  06:00:00,44.76589406
 01/03  07:00:00,46.80529064
 01/03  08:00:00,48.27656761
 01/03  09:00:00,40.48894364
 01/03  10:00:00,30.31705669
 01/03  11:00:00,26.54742245
 01/03  12:00:00,21.52885327
 01/03  13:00:00,19.58274127
 01/03  14:00:00,17.34436777
 01/03  15:00:00,17.79059181
 01/03  16:00:00,18.30152445
 01/03  17:00:00,22.54669757
 01/03  18:00:00,28.6604099
 01/03  19:00:00,29.0383531
 01/03  20:00:00,30.43018085
 01/03  21:00:00,32.25375848
 01/03  22:00:00,37.06386497
 01/03  23:00:00,39.84492576
 01/03  24:00:00,38.91714149
 01/04  01:00:00,36.4163476
 01/04  02:00:00,39.33239335
 01/04  03:00:00,43.56084345
 01/04  04:00:00,41.39371726
 01/04  05:00:00,40.50315049
 01/04  06:00:00,33.59616575
 01/04  07:00:00,36.01457907
 01/04  08:00:00,33.64159185
 01/04  09:00:00,30.88468
 01/04  10:00:00,28.30485308
 01/04  11:00:00,27.30895078
 01/04  12:00:00,23.69948141
 01/04  13:00:00,20.73013509
 01/04  14:00:00,19.27994871
 01/04  15:00:00,17.87955688
 01/04  16:00:00,18.87960498
 01/04  17:00:00,22.1155328
 01/04  18:00:00,28.01387089
 01/04  19:00:00,29.13097782
 01/04  20:00:00,34.05530123
 01/04  21:00:00,32.40517675
 01/04  22:00:00,37.52993333
 01/04  23:00:00,33.95362551
 01/04  24:00:00,36.15566108
 01/05  01:00:00,38.49090804
 01/05  02:00:00,40.09369213
 01/05  03:00:00,40.62098065
