Date/Time,All
 01/01  01:00:00,17.54090003
 01/01  02:00:00,17.09238249
 01/01  03:00:00,16.76886181
 01/01  04:00:00,16.97297948
 01/01  05:00:00,17.18073564
 01/01  06:00:00,17.64495462
 01/01  07:00:00,21.78087141
 01/01  08:00:00,21.92750077
 01/01  09:00:00,18.93485216
 01/01  10:00:00,20.04855881
 01/01  11:00:00,19.72126897
 01/01  12:00:00,21.65591384
 01/01  13:00:00,20.14958645
 01/01  14:00:00,20.02441303
 01/01  15:00:00,21.05350059
 01/01  16:00:00,21.40691411
 01/01  17:00:00,22.50028085
 01/01  18:00:00,25.61536288
 01/01  19:00:00,24.44577008
 01/01  20:00:00,24.51588159
 01/01  21:00:00,24.74539694
 01/01  22:00:00,24.19067516
 01/01  23:00:00,24.04604228
 01/01  24:00:00,23.48503821
 01/02  01:00:00,22.37471751
 01/02  02:00:00,22.35651986
 01/02  03:00:00,22.83800953
 01/02  04:00:00,22.87539378
 01/02  05:00:00,23.51884805
 01/02  06:00:00,25.13611493
 01/02  07:00:00,29.65054088
 01/02  08:00:00,29.73241102
 01/02  09:00:00,30.21720699
 01/02  10:00:00,29.25293756
 01/02  11:00:00,30.74501093
 01/02  12:00:00,26.70829482
 01/02  13:00:00,25.88886041
 01/02  14:00:00,23.9970536
 01/02  15:00:00,24.66290777
 01/02  16:00:00,25.77773833
 01/02  17:00:00,26.96580967
 01/02  18:00:00,29.67121085
 01/02  19:00:00,28.88427974
 01/02  20:00:00,29.5550842
 01/02  21:00:00,29.98591396
 01/02  22:00:00,30.21753318
 01/02  23:00:00,29.61014976
 01/02  24:00:00,28.59003941
 01/03  01:00:00,28.09739946
 01/03  02:00:00,28.06669181
 01/03  03:00:00,28.50982062
 01/03  04:00:00,28.52597945
 01/03  05:00:00,28.87859371
 01/03  06:00:00,28.33363042
 01/03  07:00:00,29.19735578
 01/03  08:00:00,31.70480325
 01/03  09:00:00,27.67660315
 01/03  10:00:00,27.7140064
 01/03  11:00:00,28.6131159
 01/03  12:00:00,28.38340832
 01/03  13:00:00,26.54647315
 01/03  14:00:00,26.81679218
 01/03  15:00:00,26.61445215
 01/03  16:00:00,27.37776768
 01/03  17:00:00,28.29799537
 01/03  18:00:00,29.23496773
 01/03  19:00:00,30.60386449
 01/03  20:00:00,29.92406915
 01/03  21:00:00,28.64721901
 01/03  22:00:00,26.6326422
 01/03  23:00:00,24.93018578
 01/03  24:00:00,24.93242982
 01/04  01:00:00,24.81219308
 01/04  02:00:00,24.25469494
 01/04  03:00:00,25.40818233
 01/04  04:00:00,25.60995765
 01/04  05:00:00,27.11494601
 01/04  06:00:00,27.9542104
 01/04  07:00:00,29.04211349
 01/04  08:00:00,31.81543177
 01/04  09:00:00,29.0469151
 01/04  10:00:00,25.01679897
 01/04  11:00:00,24.19660222
 01/04  12:00:00,21.15530065
 01/04  13:00:00,17.82832714
 01/04  14:00:00,16.65397103
 01/04  15:00:00,16.96165595
 01/04  16:00:00,17.17922322
 01/04  17:00:00,19.51698006
 01/04  18:00:00,23.22504579
 01/04  19:00:00,23.5362874
 01/04  20:00:00,24.63474392
 01/04  21:00:00,25.20496662
 01/04  22:00:00,25.36145238
 01/04  23:00:00,25.15370994
 01/04  24:00:00,24.97909777
 01/05  01:00:00,24.74133793
 01/05  02:00:00,25.7914343
 01/05  03:00:00,26.07747481
 01/05  04:00:00,27.4126368
 01/05  05:00:00,27.12021907
 01/05  06:00:00,28.46919852
 01/05  07:00:00,33.92957222
 01/05  08:00:00,33.63244164
 01/05  09:00:00,26.85772876
 01/05  10:00:00,23.21560012
 01/05  11:00:00,22.24503008
 01/05  12:00:00,18.42949474
